,index,Unnamed: 0,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,ratecode_id,store_and_fwd_flag,pu_loc_id,do_loc_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,month,day,trip_duration,duration_minutes,pickup_dropoff,mean_distance,mean_duration,rush_hour
472,21536,36373980,2,2017-04-29 20:27:31,2017-04-29 21:13:14,2,18.72,2,N,132,144,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36,April,Saturday,0 days 00:45:43,45.71666666666667,132 144,18.537499999999998,37.0,0
473,21636,68869118,1,2017-08-14 22:25:05,2017-08-14 22:59:22,1,17.5,2,N,132,141,1,52.0,0.0,0.5,10.0,0.0,0.3,62.8,August,Monday,0 days 00:34:17,34.28333333333333,132 141,19.14,50.39722222222222,0
474,21656,25450327,2,2017-03-28 16:58:01,2017-03-28 17:40:58,1,18.12,2,N,132,229,1,52.0,4.5,0.5,12.61,5.76,0.3,75.67,March,Tuesday,0 days 00:42:57,42.95,132 229,18.49,47.61388888888889,1
475,21820,17842351,1,2017-03-03 22:44:47,2017-03-03 23:21:27,1,17.5,2,N,132,43,1,52.0,0.0,0.5,8.0,0.0,0.3,60.8,March,Friday,0 days 00:36:40,36.666666666666664,132 43,18.744999999999997,41.916666666666664,0
476,21916,20421907,2,2017-03-26 20:37:35,2017-03-26 21:10:32,1,19.04,2,N,132,263,1,52.0,0.0,0.5,7.0,5.76,0.3,65.56,March,Sunday,0 days 00:32:57,32.95,132 263,19.21,39.97666666666667,0
477,21926,74669162,2,2017-09-06 07:45:14,2017-09-06 08:59:07,1,19.37,2,N,132,262,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,September,Wednesday,0 days 01:13:53,73.88333333333334,132 262,19.165,49.93125,1
478,21950,110594178,1,2017-12-30 15:37:22,2017-12-30 16:20:11,2,19.3,2,N,166,132,1,52.0,0.0,0.5,11.7,5.76,0.3,70.26,December,Saturday,0 days 00:42:49,42.81666666666667,166 132,19.026666666666667,41.611111111111114,0
479,21993,56224743,2,2017-06-10 20:37:06,2017-06-10 21:14:04,1,16.75,2,N,186,132,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,June,Saturday,0 days 00:36:58,36.96666666666667,186 132,17.096,42.92,0
464,21344,106191314,1,2017-12-15 05:57:20,2017-12-15 06:30:21,1,18.4,2,N,249,132,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0,December,Friday,0 days 00:33:01,33.016666666666666,249 132,18.4,33.016666666666666,0
465,21359,89461779,2,2017-10-23 16:59:58,2017-10-23 18:30:40,1,18.42,2,N,50,132,1,52.0,4.5,0.5,12.61,5.76,0.3,75.67,October,Monday,0 days 01:30:42,88.74999999999999,50 132,18.42,88.74999999999999,1
466,21395,112420754,2,2017-01-09 11:22:43,2017-01-09 12:05:41,2,17.36,2,N,144,132,1,52.0,0.0,0.5,7.0,0.0,0.3,59.8,January,Monday,0 days 00:42:58,42.96666666666667,144 132,18.335,38.3,0
467,21421,51073126,2,2017-06-16 17:48:13,2017-06-16 18:33:24,2,18.37,2,N,132,249,1,52.0,4.5,0.5,12.61,5.76,0.3,75.67,June,Friday,0 days 00:45:11,45.18333333333333,132 249,18.7325,48.11666666666667,1
468,21453,21885897,1,2017-03-17 00:00:17,2017-03-17 00:29:15,1,19.0,2,N,132,262,1,52.0,0.0,0.5,6.0,5.54,0.3,64.34,March,Friday,0 days 00:28:58,28.966666666666665,132 262,19.165,49.93125,0
469,21476,85868132,2,2017-10-12 14:47:49,2017-10-12 15:58:34,1,18.56,2,N,132,48,1,52.0,0.0,0.5,14.64,5.76,0.3,73.2,October,Thursday,0 days 01:10:45,70.75,132 48,18.761904761904763,58.24444444444444,0
470,21494,57229790,2,2017-07-04 21:47:23,2017-07-04 22:24:15,1,20.46,2,N,132,140,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,July,Tuesday,0 days 00:36:52,36.86666666666667,132 140,19.293333333333333,36.791666666666664,0
471,21513,64447889,2,2017-07-29 20:13:56,2017-07-29 21:02:06,1,24.42,2,N,132,158,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,July,Saturday,0 days 00:48:10,48.166666666666664,132 158,22.7,49.7375,0
456,21148,105335491,1,2017-12-12 18:21:38,2017-12-12 19:14:16,1,13.6,2,N,170,132,1,52.0,4.5,0.5,12.6,5.76,0.3,75.66,December,Tuesday,0 days 00:52:38,52.63333333333333,170 132,16.095,43.40625,1
457,21192,56639958,1,2017-07-01 20:11:42,2017-07-01 21:01:24,5,17.8,2,N,132,107,1,52.0,0.0,0.5,11.7,5.76,0.3,70.26,July,Saturday,0 days 00:49:42,49.7,132 107,17.561666666666667,50.455555555555556,0
458,21258,101614935,1,2017-12-01 15:24:13,2017-12-01 16:37:08,1,16.9,2,N,229,132,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35,December,Friday,0 days 01:12:55,72.91666666666667,229 132,16.683333333333334,46.040740740740745,0
459,21280,99867307,1,2017-11-25 18:14:34,2017-11-25 18:59:12,1,20.3,2,N,132,141,1,52.0,0.0,0.5,11.7,5.76,0.3,70.26,November,Saturday,0 days 00:44:38,44.63333333333333,132 141,19.14,50.39722222222222,0
460,21289,93411513,2,2017-11-04 18:54:35,2017-11-04 19:46:09,5,19.67,2,N,132,151,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,November,Saturday,0 days 00:51:34,51.56666666666667,132 151,19.834,48.53333333333334,0
